"umap_1","umap_2","cell_types","cellID"
0.538086829902941,-4.69084543772516,"Endothelial cells","sample_2d_r1_s1-cell_207"
10.1542377157233,-6.55970234461603,"Myeloid cells","sample_2d_r1_s1-cell_208"
6.7057642622016,-6.70382685252009,"Myeloid cells","sample_2d_r1_s1-cell_210"
-0.142030598399824,-9.31579584666071,"Cardiac fibroblasts","sample_2d_r1_s1-cell_211"
-1.77192858028192,-6.79409737177668,"Cardiac fibroblasts","sample_2d_r1_s1-cell_213"
9.50848099422675,-5.79025883265314,"Myeloid cells","sample_2d_r1_s1-cell_214"
-4.26507762241144,-5.48299498148737,"Myeloid cells","sample_2d_r1_s1-cell_218"
1.56485041809302,-2.89359445162592,"Endothelial cells","sample_2d_r1_s1-cell_219"
1.18494710159522,-6.53092093058405,"Myeloid cells","sample_2d_r1_s1-cell_221"
1.66616698932868,-1.41895086355982,"Endothelial cells","sample_2d_r1_s1-cell_225"
0.492786614420229,-4.02996105738459,"Endothelial cells","sample_2d_r1_s1-cell_226"
1.26258179378729,-2.28335017748652,"Endothelial cells","sample_2d_r1_s1-cell_228"
-4.99872687625665,6.28467612675848,"Cardiomyocytes","sample_2d_r1_s1-cell_229"
4.72683188152533,-0.131238170345402,"Endothelial cells","sample_2d_r1_s1-cell_230"
1.06120648813468,-1.02906174250422,"Endothelial cells","sample_2d_r1_s1-cell_231"
4.57423111629706,-6.83592648096857,"Myeloid cells","sample_2d_r1_s1-cell_232"
-1.76659050750513,-9.05161566325006,"Cardiac fibroblasts","sample_2d_r1_s1-cell_234"
1.6243194026969,-0.926926918705083,"Endothelial cells","sample_2d_r1_s1-cell_238"
10.5015725774787,-5.32407755442438,"Myeloid cells","sample_2d_r1_s1-cell_239"
4.38496014309149,-6.51693720408259,"Myeloid cells","sample_2d_r1_s1-cell_240"
-12.6659946756341,1.47479861191931,"Cardiomyocytes Nppa+","sample_2d_r1_s1-cell_242"
0.952470390322023,-6.17802185602961,"Myeloid cells","sample_2d_r1_s1-cell_246"
-2.98644617366571,-10.1167554337579,"Cardiac fibroblasts","sample_2d_r1_s1-cell_247"
0.74564316702109,-3.77088923044977,"Endothelial cells","sample_2d_r1_s1-cell_248"
10.532657591822,-5.85980887003717,"Myeloid cells","sample_2d_r1_s1-cell_249"
