"cellID","X_centroid","Y_centroid","anno_cell_type_lvl2"
"sample_2d_r2_s1-cell_499",7279.83243144646,22526.8262498638,"Myeloid cells"
"sample_2d_r2_s1-cell_502",5691.19306591044,22505.8449269336,"Cardiomyocytes"
"sample_2d_r2_s1-cell_503",5907.97462277092,22557.0731063333,"Endothelial cells"
"sample_2d_r2_s1-cell_505",8494.58902598054,22402.9720483003,"Lymphoid cells"
"sample_2d_r2_s1-cell_511",5559.4069131061,22508.8921368349,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_515",5870.94593860364,22507.5178400509,"Myeloid cells"
"sample_2d_r2_s1-cell_518",5516.92345544013,22510.9147516813,"Myeloid cells"
"sample_2d_r2_s1-cell_523",5748.91815306768,22411.6035726735,"Myeloid cells"
"sample_2d_r2_s1-cell_527",6114.81251892547,22430.5564532137,"Myeloid cells"
"sample_2d_r2_s1-cell_536",5862.64426192871,22374.5535100338,"Myeloid cells"
"sample_2d_r2_s1-cell_540",5971.71461479396,22415.7295668278,"Myeloid cells"
"sample_2d_r2_s1-cell_541",8402.57373858362,22426.6240169326,"Myeloid cells"
"sample_2d_r2_s1-cell_545",7134.97093023256,22441.7517771935,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_547",5448.39383502669,22379.8270939996,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_548",7033.60845263777,22351.0773159862,"Myeloid cells"
"sample_2d_r2_s1-cell_550",8017.13898408347,22325.0149198816,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_551",5538.51284807035,22370.8031628648,"Cardiomyocytes"
"sample_2d_r2_s1-cell_554",8298.85111161015,22371.0756475063,"Endothelial cells"
"sample_2d_r2_s1-cell_555",6374.16500570954,22314.5681872216,"Myeloid cells"
"sample_2d_r2_s1-cell_557",8367.06389376096,22368.2527669998,"Endothelial cells"
"sample_2d_r2_s1-cell_561",6015.03970981291,22339.0859080812,"Myeloid cells"
"sample_2d_r2_s1-cell_562",6910.67589986669,22336.122604411,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_566",5962.63764391447,22297.0417607287,"Endothelial cells"
"sample_2d_r2_s1-cell_570",8100.10242647881,22281.8897596092,"Myeloid cells"
"sample_2d_r2_s1-cell_572",5764.81788723266,22320.7209471063,"Endothelial cells"
"sample_2d_r2_s1-cell_576",8363.99708029197,22300.5038098267,"Lymphoid cells"
"sample_2d_r2_s1-cell_578",5496.0899571298,22261.2524446954,"Endothelial cells"
"sample_2d_r2_s1-cell_580",5677.12762420259,22238.5453298283,"Cardiomyocytes"
"sample_2d_r2_s1-cell_581",6495.9625540312,22173.51092937,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_584",5814.49319419238,22267.396846652,"Endothelial cells"
"sample_2d_r2_s1-cell_585",8326.25554968288,22253.8022528806,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_588",5901.23618278364,22208.344107191,"Endothelial cells"
"sample_2d_r2_s1-cell_589",8397.2409330836,22219.7405222262,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_593",8506.26203592814,22221.2598452012,"Myeloid cells"
