fov,lumen_bin,total_count,mono_count,mono_percentage,timepoint,endothelial_count,endothelial_percentage,endocardial_count,endocardial_percentage,area_px,area_um,mono_per_um2,mono_per_mm2,endothelial_per_um2,endothelial_per_mm2,endocardial_per_um2,endocardial_per_mm2
4h_96,3,1172,4.0,0.0034129692832764505,4h,137,0.11689419795221843,2.0,0.0017064846416382253,4022577,212794.32330000002,1.879749392732038e-05,18.797493927320378,0.000643814167010723,643.814167010723,9.39874696366019e-06,9.398746963660189
4h_96,4,1056,4.0,0.003787878787878788,4h,123,0.11647727272727272,0.0,0.0,3866091,204516.21390000003,1.9558351505352208e-05,19.558351505352206,0.0006014193087895804,601.4193087895804,0.0,0.0
4h_97,1,1269,42.0,0.03309692671394799,4h,16,0.01260835303388495,447.0,0.35224586288416077,3814603,201792.49870000003,0.00020813459504478594,208.13459504478595,7.928936954087084e-05,79.28936954087084,0.002215146761548079,2215.1467615480788
4h_97,2,1125,14.0,0.012444444444444444,4h,78,0.06933333333333333,15.0,0.013333333333333334,3774101,199649.9429,7.01227348059512e-05,70.1227348059512,0.0003906838082045853,390.6838082045853,7.513150157780487e-05,75.13150157780487
4h_97,3,1097,8.0,0.007292616226071103,4h,114,0.10391978122151321,14.0,0.01276207839562443,3782521,200095.36090000003,3.998093690936739e-05,39.98093690936739,0.0005697283509584853,569.7283509584853,6.996663959139294e-05,69.96663959139293
4h_97,4,1021,12.0,0.011753183153770812,4h,119,0.11655239960822723,14.0,0.013712047012732615,3753845,198578.40050000002,6.0429532969271744e-05,60.42953296927174,0.0005992595352786115,599.2595352786115,7.05011217974837e-05,70.5011217974837
Control_12,1,1270,0.0,0.0,Control,59,0.046456692913385826,407.0,0.32047244094488186,3955799,209261.76710000003,0.0,0.0,0.0002819435237388856,281.9435237388856,0.001944932443419092,1944.932443419092
Control_12,2,1211,1.0,0.0008257638315441783,Control,132,0.10900082576383155,29.0,0.023947151114781174,3956787,209314.03230000002,4.777510561579296e-06,4.777510561579296,0.000630631394128467,630.631394128467,0.0001385478062857996,138.5478062857996
Control_12,3,1107,2.0,0.0018066847335140017,Control,173,0.15627822944896116,29.0,0.026196928635953028,3965462,209772.93980000002,9.534118184675409e-06,9.534118184675409,0.0008247012229744228,824.7012229744229,0.00013824471367779342,138.2447136777934
Control_12,4,1061,0.0,0.0,Control,162,0.1526861451460886,23.0,0.021677662582469368,4008676,212058.96040000004,0.0,0.0,0.0007639384805736319,763.9384805736319,0.00010846040156292304,108.46040156292304
Control_13,1,1415,1.0,0.0007067137809187279,Control,124,0.08763250883392226,452.0,0.31943462897526503,4105791,217196.3439,4.604129066097047e-06,4.604129066097047,0.0005709120041960337,570.9120041960338,0.002081066337875865,2081.0663378758654
Control_13,2,1333,0.0,0.0,Control,247,0.18529632408102026,25.0,0.018754688672168042,4144935,219267.0615,0.0,0.0,0.0011264801849866538,1126.4801849866537,0.00011401621305532933,114.01621305532933
Control_13,3,1135,4.0,0.003524229074889868,Control,246,0.21674008810572687,12.0,0.010572687224669603,4028731,213119.86990000002,1.8768780226249565e-05,18.768780226249564,0.0011542799839143482,1154.2799839143483,5.630634067874869e-05,56.30634067874869
Control_13,4,1104,2.0,0.0018115942028985507,Control,279,0.25271739130434784,12.0,0.010869565217391304,3903267,206482.8243,9.686035663160967e-06,9.686035663160967,0.0013512019750109548,1351.2019750109548,5.81162139789658e-05,58.1162139789658
Control_14,1,1284,2.0,0.001557632398753894,Control,23,0.01791277258566978,331.0,0.25778816199376947,4653912,246191.94480000003,8.123742641639832e-06,8.123742641639833,9.342304037885807e-05,93.42304037885808,0.0013444794071913924,1344.4794071913923
Control_14,2,1319,1.0,0.000758150113722517,Control,34,0.02577710386656558,47.0,0.0356330553449583,5080694,268768.7126,3.720671168627683e-06,3.720671168627683,0.00012650281973334123,126.50281973334123,0.0001748715449255011,174.8715449255011
Control_14,3,1264,1.0,0.0007911392405063291,Control,28,0.022151898734177215,29.0,0.022943037974683545,5143758,272104.7982,3.6750546356223715e-06,3.6750546356223714,0.0001029015297974264,102.90152979742639,0.00010657658443304877,106.57658443304877
Control_14,4,1198,0.0,0.0,Control,58,0.048414023372287146,20.0,0.01669449081803005,4963372,262562.3788,0.0,0.0,0.00022089988773364968,220.89988773364968,7.617237508056885e-05,76.17237508056884
