final_cell_type,region_name,timepoint,mean_count,se_count
Endocardial cells,All,Control,29.850805731512292,3.0084689249009657
Endocardial cells,All,4h,32.9247302712768,2.1583201022733713
Endocardial cells,All,24h,43.58262638508211,5.299937621979026
Endocardial cells,All,48h,50.75201317265421,7.531379009058077
Endocardial cells,"Near-Infarct
Endocardial Region",Control,623.2008354883427,131.4525762558767
Endocardial cells,"Near-Infarct
Endocardial Region",4h,366.03730123545745,7.4760355829031075
Endocardial cells,"Near-Infarct
Endocardial Region",24h,536.5376251582583,66.82615244549388
Endocardial cells,"Near-Infarct
Endocardial Region",48h,540.2906937608384,12.842155280716554
Endocardial cells,"Remote
Endocardial Region",Control,623.2008354883427,131.4525762558767
Endocardial cells,"Remote
Endocardial Region",4h,509.9414834722355,48.91991773713414
Endocardial cells,"Remote
Endocardial Region",24h,472.834841980172,20.124338690212113
Endocardial cells,"Remote
Endocardial Region",48h,388.4153034403312,48.45645613871479
Endocardial cells,Infarct Core,Control,3.723262733152041,0.0
Endocardial cells,Infarct Core,4h,0.0,0.0
Endocardial cells,Infarct Core,24h,0.0,0.0
Endocardial cells,Infarct Core,48h,1.923537594979611,0.0
Endocardial cells,Border zone,Control,33.63191430820273,13.848069683978233
Endocardial cells,Border zone,4h,39.76165382287171,0.1894690722129084
Endocardial cells,Border zone,24h,15.74417449916523,5.966224864174639
Endocardial cells,Border zone,48h,31.521041907638242,0.5188648647318548
Endocardial cells,"Near-Infarct
Epicardial Region",Control,0.0,0.0
Endocardial cells,"Near-Infarct
Epicardial Region",4h,0.0,0.0
Endocardial cells,"Near-Infarct
Epicardial Region",24h,0.0,0.0
Endocardial cells,"Near-Infarct
Epicardial Region",48h,0.0,0.0
Endothelial cells,All,Control,700.6511222601393,212.62866014547683
Endothelial cells,All,4h,463.59354026093933,57.552975393365415
Endothelial cells,All,24h,480.502729188884,73.95294191316964
Endothelial cells,All,48h,814.4191068507431,271.18152772899487
Endothelial cells,"Near-Infarct
Endocardial Region",Control,530.2844473771587,216.7981886380764
Endothelial cells,"Near-Infarct
Endocardial Region",4h,403.71026537909614,79.80416860692407
Endothelial cells,"Near-Infarct
Endocardial Region",24h,360.6861405920717,93.37066831651468
Endothelial cells,"Near-Infarct
Endocardial Region",48h,919.0256588536154,346.1380652034334
Endothelial cells,"Remote
Endocardial Region",Control,530.2844473771587,216.7981886380764
Endothelial cells,"Remote
Endocardial Region",4h,490.334561779103,158.51060481103974
Endothelial cells,"Remote
Endocardial Region",24h,449.816485362995,214.8010620201375
Endothelial cells,"Remote
Endocardial Region",48h,912.5110362754788,277.5878949915775
Endothelial cells,Infarct Core,Control,621.719289767218,142.54188727489765
Endothelial cells,Infarct Core,4h,239.09735315374303,45.27926514289857
Endothelial cells,Infarct Core,24h,137.11655918067302,0.8340882784897302
Endothelial cells,Infarct Core,48h,455.9469712393095,141.44857446014313
Endothelial cells,Border zone,Control,644.466636509317,185.42706143752014
Endothelial cells,Border zone,4h,365.2662218478569,42.36230071645138
Endothelial cells,Border zone,24h,370.7649989456832,92.936361041123
Endothelial cells,Border zone,48h,743.0083824152414,212.97678180946178
Endothelial cells,"Near-Infarct
Epicardial Region",Control,729.4697028436245,183.9451783881445
Endothelial cells,"Near-Infarct
Epicardial Region",4h,593.566326917386,33.39937449527821
Endothelial cells,"Near-Infarct
Epicardial Region",24h,697.5909324571401,110.17403892284068
Endothelial cells,"Near-Infarct
Epicardial Region",48h,1093.6315647456713,260.62493289041714
Fibroblasts,All,Control,233.46950402616957,70.01820240401037
Fibroblasts,All,4h,215.51325181158774,21.32339702284403
Fibroblasts,All,24h,244.16087265663194,32.95960733654633
Fibroblasts,All,48h,443.53955604589123,109.69794224942827
Fibroblasts,"Near-Infarct
Endocardial Region",Control,514.76586921681,93.19566165497507
Fibroblasts,"Near-Infarct
Endocardial Region",4h,287.41046601768414,51.08599547395517
Fibroblasts,"Near-Infarct
Endocardial Region",24h,246.4924148124752,39.9170197684787
Fibroblasts,"Near-Infarct
Endocardial Region",48h,642.3939816815606,123.83193570510285
Fibroblasts,"Remote
Endocardial Region",Control,514.76586921681,93.19566165497507
Fibroblasts,"Remote
Endocardial Region",4h,800.3279952624252,151.48282867228244
Fibroblasts,"Remote
Endocardial Region",24h,465.9787227278762,179.37454791951336
Fibroblasts,"Remote
Endocardial Region",48h,1207.0051997337491,337.1105022266719
Fibroblasts,Infarct Core,Control,179.14721098708958,76.52136136817492
Fibroblasts,Infarct Core,4h,117.50019602008933,11.314726213740753
Fibroblasts,Infarct Core,24h,107.22213763622514,26.86434602856328
Fibroblasts,Infarct Core,48h,401.16833787876715,90.9979006883049
Fibroblasts,Border zone,Control,235.04001346454308,66.16648111786965
Fibroblasts,Border zone,4h,171.8717145403034,23.187638611174066
Fibroblasts,Border zone,24h,185.8756920779835,43.92683703208566
Fibroblasts,Border zone,48h,390.1110718221983,31.72182892554423
Fibroblasts,"Near-Infarct
Epicardial Region",Control,538.2830785001153,137.7708139616415
Fibroblasts,"Near-Infarct
Epicardial Region",4h,287.0476415583088,26.43520914802332
Fibroblasts,"Near-Infarct
Epicardial Region",24h,341.87775631363564,42.41366936300869
Fibroblasts,"Near-Infarct
Epicardial Region",48h,652.1673351675498,172.83949672569958
Macrophages Trem2+,All,Control,6.548146289915624,3.206054790915073
Macrophages Trem2+,All,4h,6.562999876112368,0.43738790612741724
