timepoint,fov,region_name,final_cell_type,count,total_count,percentage,area_px,area_um,count_per_um2,count_per_mm2
48h,48h_76,border_zone,Mono / Macros Ccr2+,1552,8990,0.17263626251390435,41300102,2184775.3958000005,0.0007103705044388342,710.3705044388342
48h,48h_76,border_zone,Neutrophils,514,8990,0.05717463848720801,41300102,2184775.3958000005,0.00023526445829997471,235.2644582999747
48h,48h_76,border_zone,Other Leukocytes,153,8990,0.017018909899888766,41300102,2184775.3958000005,7.003008194532321e-05,70.03008194532322
48h,48h_76,border_zone,Smooth muscle cells,89,8990,0.009899888765294773,41300102,2184775.3958000005,4.073645289629913e-05,40.73645289629913
48h,48h_76,endocardial_region,Cardiomyocytes,548,1119,0.4897229669347632,3827656,202483.0024,0.0027064000113818936,2706.4000113818934
48h,48h_76,endocardial_region,Cardiomyocytes Ankrd1+,25,1119,0.022341376228775692,3827656,202483.0024,0.0001234671538039185,123.4671538039185
48h,48h_76,endocardial_region,Endocardial cells,112,1119,0.10008936550491511,3827656,202483.0024,0.000553132849041555,553.132849041555
48h,48h_76,endocardial_region,Endothelial cells,116,1119,0.10366398570151922,3827656,202483.0024,0.0005728875936501819,572.8875936501819
48h,48h_76,endocardial_region,Fibroblasts,105,1119,0.0938337801608579,3827656,202483.0024,0.0005185620459764577,518.5620459764577
48h,48h_76,endocardial_region,Macrophages Trem2+,6,1119,0.005361930294906166,3827656,202483.0024,2.9632116912940443e-05,29.632116912940443
48h,48h_76,endocardial_region,Macrophages Trem2-,1,1119,0.0008936550491510277,3827656,202483.0024,4.9386861521567405e-06,4.93868615215674
48h,48h_76,endocardial_region,Mono / Macros Ccr2+,170,1119,0.15192135835567472,3827656,202483.0024,0.0008395766458666458,839.5766458666459
48h,48h_76,endocardial_region,Neutrophils,20,1119,0.017873100983020553,3827656,202483.0024,9.87737230431348e-05,98.77372304313481
48h,48h_76,endocardial_region,Other Leukocytes,14,1119,0.012511170688114389,3827656,202483.0024,6.914160613019437e-05,69.14160613019438
48h,48h_76,endocardial_region,Smooth muscle cells,2,1119,0.0017873100983020554,3827656,202483.0024,9.877372304313481e-06,9.87737230431348
48h,48h_76,epicardial_region,Cardiomyocytes,89,1173,0.07587382779198636,4062084,214884.24360000002,0.0004141764817604337,414.1764817604337
48h,48h_76,epicardial_region,Cardiomyocytes Ankrd1+,432,1173,0.36828644501278773,4062084,214884.24360000002,0.0020103847204551387,2010.3847204551387
48h,48h_76,epicardial_region,Endothelial cells,179,1173,0.1526001705029838,4062084,214884.24360000002,0.0008330066318552543,833.0066318552542
48h,48h_76,epicardial_region,Fibroblasts,103,1173,0.08780903665814152,4062084,214884.24360000002,0.0004793278384418502,479.32783844185025
48h,48h_76,epicardial_region,Macrophages Trem2+,48,1173,0.04092071611253197,4062084,214884.24360000002,0.000223376080050571,223.376080050571
48h,48h_76,epicardial_region,Mono / Macros Ccr2+,186,1173,0.1585677749360614,4062084,214884.24360000002,0.0008655823101959626,865.5823101959626
48h,48h_76,epicardial_region,Neutrophils,119,1173,0.10144927536231885,4062084,214884.24360000002,0.0005537865317920405,553.7865317920406
48h,48h_76,epicardial_region,Other Leukocytes,9,1173,0.0076726342710997444,4062084,214884.24360000002,4.188301500948206e-05,41.88301500948206
48h,48h_76,epicardial_region,Smooth muscle cells,8,1173,0.0068201193520886615,4062084,214884.24360000002,3.7229346675095164e-05,37.229346675095165
48h,48h_76,infarct_core,Cardiomyocytes,171,7595,0.02251481237656353,39310054,2079501.8566,8.223123218537837e-05,82.23123218537836
48h,48h_76,infarct_core,Cardiomyocytes Ankrd1+,3619,7595,0.47649769585253454,39310054,2079501.8566,0.001740320639057803,1740.320639057803
48h,48h_76,infarct_core,Endocardial cells,4,7595,0.0005266622778143515,39310054,2079501.8566,1.923537594979611e-06,1.923537594979611
48h,48h_76,infarct_core,Endothelial cells,654,7595,0.08610928242264648,39310054,2079501.8566,0.0003144983967791664,314.4983967791664
48h,48h_76,infarct_core,Fibroblasts,645,7595,0.08492429229756418,39310054,2079501.8566,0.0003101704371904623,310.1704371904623
48h,48h_76,infarct_core,Macrophages Trem2+,174,7595,0.022909809084924293,39310054,2079501.8566,8.367388538161307e-05,83.67388538161308
48h,48h_76,infarct_core,Mono / Macros Ccr2+,1343,7595,0.17682685977616852,39310054,2079501.8566,0.0006458277475144044,645.8277475144045
48h,48h_76,infarct_core,Neutrophils,745,7595,0.09809084924292298,39310054,2079501.8566,0.00035825887706495254,358.2588770649525
48h,48h_76,infarct_core,Other Leukocytes,113,7595,0.014878209348255431,39310054,2079501.8566,5.433993705817401e-05,54.33993705817401
48h,48h_76,infarct_core,Smooth muscle cells,127,7595,0.01672152732060566,39310054,2079501.8566,6.107231864060265e-05,61.072318640602646
48h,48h_76,other_cardiac_tissue,Cardiomyocytes,9768,17811,0.5484251305373085,94862675,5018235.5075,0.0019465009135982642,1946.500913598264
48h,48h_76,other_cardiac_tissue,Cardiomyocytes Ankrd1+,752,17811,0.042221099320644544,94862675,5018235.5075,0.00014985346918774516,149.85346918774516
48h,48h_76,other_cardiac_tissue,Endocardial cells,323,17811,0.018134860479478973,94862675,5018235.5075,6.43652533878214e-05,64.3652533878214
48h,48h_76,other_cardiac_tissue,Endothelial cells,3144,17811,0.17652012801077985,94862675,5018235.5075,0.0006265150360721686,626.5150360721686
48h,48h_76,other_cardiac_tissue,Fibroblasts,1495,17811,0.08393689293133456,94862675,5018235.5075,0.00029791347930276465,297.91347930276464
48h,48h_76,other_cardiac_tissue,Macrophages Trem2+,633,17811,0.03553983493346808,94862675,5018235.5075,0.0001261399547817057,126.1399547817057
48h,48h_76,other_cardiac_tissue,Macrophages Trem2-,87,17811,0.004884621862893717,94862675,5018235.5075,1.7336771036348176e-05,17.336771036348175
48h,48h_76,other_cardiac_tissue,Mono / Macros Ccr2+,959,17811,0.053843130649598565,94862675,5018235.5075,0.00019110302786043564,191.10302786043565
48h,48h_76,other_cardiac_tissue,Neutrophils,127,17811,0.0071304250182471504,94862675,5018235.5075,2.530770024846228e-05,25.30770024846228
48h,48h_76,other_cardiac_tissue,Other Leukocytes,110,17811,0.006175958677221941,94862675,5018235.5075,2.1920055333313788e-05,21.920055333313787
48h,48h_76,other_cardiac_tissue,Smooth muscle cells,413,17811,0.0231879175790242,94862675,5018235.5075,8.229984411507812e-05,82.29984411507812
48h,48h_76,remote_endocardial_region,Cardiomyocytes,863,1277,0.6758026624902115,3781176,200024.2104,0.004314477723842573,4314.477723842573
48h,48h_76,remote_endocardial_region,Endocardial cells,68,1277,0.05324980422866092,3781176,200024.2104,0.0003399588473016164,339.9588473016164
48h,48h_76,remote_endocardial_region,Endothelial cells,127,1277,0.09945184025058731,3781176,200024.2104,0.0006349231412839013,634.9231412839013
48h,48h_76,remote_endocardial_region,Fibroblasts,174,1277,0.13625685199686766,3781176,200024.2104,0.0008698946975070773,869.8946975070774
48h,48h_76,remote_endocardial_region,Macrophages Trem2+,19,1277,0.014878621769772905,3781176,200024.2104,9.498850145192224e-05,94.98850145192225
48h,48h_76,remote_endocardial_region,Macrophages Trem2-,5,1277,0.003915426781519186,3781176,200024.2104,2.4996974066295324e-05,24.996974066295323
48h,48h_76,remote_endocardial_region,Mono / Macros Ccr2+,12,1277,0.009397024275646046,3781176,200024.2104,5.999273775910878e-05,59.99273775910878
48h,48h_76,remote_endocardial_region,Other Leukocytes,3,1277,0.0023492560689115116,3781176,200024.2104,1.4998184439777195e-05,14.998184439777194
48h,48h_76,remote_endocardial_region,Smooth muscle cells,6,1277,0.004698512137823023,3781176,200024.2104,2.999636887955439e-05,29.99636887955439
48h,48h_79,border_zone,Cardiomyocytes,1285,9985,0.128693039559339,37194778,1967603.7562,0.0006530786475431918,653.0786475431918
48h,48h_79,border_zone,Cardiomyocytes Ankrd1+,3023,9985,0.3027541311967952,37194778,1967603.7562,0.0015363865770607538,1536.3865770607538
48h,48h_79,border_zone,Endocardial cells,61,9985,0.006109163745618428,37194778,1967603.7562,3.100217704290638e-05,31.002177042906382
48h,48h_79,border_zone,Endothelial cells,1881,9985,0.18838257386079119,37194778,1967603.7562,0.0009559851642247033,955.9851642247033
48h,48h_79,border_zone,Fibroblasts,830,9985,0.08312468703054582,37194778,1967603.7562,0.00042183290074774253,421.83290074774254
48h,48h_79,border_zone,Macrophages Trem2+,387,9985,0.038758137205808715,37194778,1967603.7562,0.0001966859428787667,196.6859428787667
48h,48h_79,border_zone,Macrophages Trem2-,6,9985,0.0006009013520280421,37194778,1967603.7562,3.049394463236693e-06,3.049394463236693
48h,48h_79,border_zone,Mono / Macros Ccr2+,1778,9985,0.17806710065097647,37194778,1967603.7562,0.00090363722593914,903.63722593914
48h,48h_79,border_zone,Neutrophils,436,9985,0.04366549824737106,37194778,1967603.7562,0.0002215893309951997,221.5893309951997
48h,48h_79,border_zone,Other Leukocytes,219,9985,0.021932899349023535,37194778,1967603.7562,0.00011130289790813929,111.30289790813929
48h,48h_79,border_zone,Smooth muscle cells,79,9985,0.007911867801702555,37194778,1967603.7562,4.015036043261646e-05,40.15036043261646
48h,48h_79,endocardial_region,Cardiomyocytes,542,1600,0.33875,5304274,280596.0946,0.0019316020801096352,1931.6020801096352
48h,48h_79,endocardial_region,Cardiomyocytes Ankrd1+,46,1600,0.02875,5304274,280596.0946,0.0001639367079059838,163.9367079059838
48h,48h_79,endocardial_region,Endocardial cells,148,1600,0.0925,5304274,280596.0946,0.0005274485384801218,527.4485384801219
48h,48h_79,endocardial_region,Endothelial cells,355,1600,0.221875,5304274,280596.0946,0.0012651637240570488,1265.1637240570487
48h,48h_79,endocardial_region,Fibroblasts,215,1600,0.134375,5304274,280596.0946,0.0007662259173866634,766.2259173866635
48h,48h_79,endocardial_region,Macrophages Trem2+,18,1600,0.01125,5304274,280596.0946,6.414914657190671e-05,64.14914657190671
48h,48h_79,endocardial_region,Mono / Macros Ccr2+,218,1600,0.13625,5304274,280596.0946,0.0007769174418153145,776.9174418153145
48h,48h_79,endocardial_region,Neutrophils,22,1600,0.01375,5304274,280596.0946,7.840451247677486e-05,78.40451247677485
48h,48h_79,endocardial_region,Other Leukocytes,33,1600,0.020625,5304274,280596.0946,0.0001176067687151623,117.6067687151623
48h,48h_79,endocardial_region,Smooth muscle cells,3,1600,0.001875,5304274,280596.0946,1.0691524428651118e-05,10.691524428651118
48h,48h_79,epicardial_region,Cardiomyocytes,48,965,0.049740932642487044,2428805,128483.78450000001,0.00037358799934788655,373.5879993478865
48h,48h_79,epicardial_region,Cardiomyocytes Ankrd1+,492,965,0.5098445595854922,2428805,128483.78450000001,0.003829276993315837,3829.276993315837
48h,48h_79,epicardial_region,Endothelial cells,174,965,0.18031088082901556,2428805,128483.78450000001,0.0013542564976360887,1354.2564976360886
48h,48h_79,epicardial_region,Fibroblasts,106,965,0.10984455958549223,2428805,128483.78450000001,0.0008250068318932495,825.0068318932495
48h,48h_79,epicardial_region,Macrophages Trem2+,11,965,0.011398963730569948,2428805,128483.78450000001,8.561391651722401e-05,85.61391651722401
48h,48h_79,epicardial_region,Mono / Macros Ccr2+,94,965,0.09740932642487046,2428805,128483.78450000001,0.0007316098320562779,731.6098320562778
48h,48h_79,epicardial_region,Neutrophils,32,965,0.03316062176165803,2428805,128483.78450000001,0.00024905866623192436,249.05866623192438
48h,48h_79,epicardial_region,Other Leukocytes,7,965,0.007253886010362694,2428805,128483.78450000001,5.4481583238233455e-05,54.481583238233455
48h,48h_79,epicardial_region,Smooth muscle cells,1,965,0.0010362694300518134,2428805,128483.78450000001,7.783083319747636e-06,7.783083319747637
48h,48h_79,infarct_core,Cardiomyocytes,79,9142,0.008641435134543863,34491243,1824586.7547000002,4.329747533051079e-05,43.297475330510785
48h,48h_79,infarct_core,Cardiomyocytes Ankrd1+,4907,9142,0.5367534456355283,34491243,1824586.7547000002,0.002689376094263499,2689.376094263499
48h,48h_79,infarct_core,Endothelial cells,1090,9142,0.11922992780573179,34491243,1824586.7547000002,0.0005973955456994527,597.3955456994527
48h,48h_79,infarct_core,Fibroblasts,898,9142,0.09822795887114417,34491243,1824586.7547000002,0.0004921662385670721,492.16623856707207
48h,48h_79,infarct_core,Macrophages Trem2+,98,9142,0.010719754977029096,34491243,1824586.7547000002,5.3710792182152625e-05,53.71079218215262
48h,48h_79,infarct_core,Mono / Macros Ccr2+,1292,9142,0.14132574928899586,34491243,1824586.7547000002,0.0007081055459116448,708.1055459116448
48h,48h_79,infarct_core,Neutrophils,488,9142,0.0533800043754102,34491243,1824586.7547000002,0.00026745782229480085,267.45782229480085
48h,48h_79,infarct_core,Other Leukocytes,181,9142,0.019798731131043534,34491243,1824586.7547000002,9.920054474458802e-05,99.20054474458802
48h,48h_79,infarct_core,Smooth muscle cells,109,9142,0.01192299278057318,34491243,1824586.7547000002,5.973955456994527e-05,59.73955456994527
48h,48h_79,other_cardiac_tissue,Cardiomyocytes,20176,46267,0.43607754987356,200614974,10612532.1246,0.0019011485442980893,1901.1485442980893
48h,48h_79,other_cardiac_tissue,Cardiomyocytes Ankrd1+,1843,46267,0.03983400695960404,200614974,10612532.1246,0.0001736626074118447,173.6626074118447
48h,48h_79,other_cardiac_tissue,Endocardial cells,379,46267,0.008191583634123674,200614974,10612532.1246,3.5712494958811255e-05,35.712494958811256
48h,48h_79,other_cardiac_tissue,Endothelial cells,12568,46267,0.2716406942313096,200614974,10612532.1246,0.001184260254992981,1184.2602549929811
48h,48h_79,other_cardiac_tissue,Fibroblasts,6015,46267,0.1300062679663691,200614974,10612532.1246,0.0005667827366154345,566.7827366154345
48h,48h_79,other_cardiac_tissue,Macrophages Trem2+,1508,46267,0.03259342511941556,200614974,10612532.1246,0.00014209615408413554,142.09615408413555
48h,48h_79,other_cardiac_tissue,Macrophages Trem2-,72,46267,0.001556184753712149,200614974,10612532.1246,6.784431759985251e-06,6.784431759985251
48h,48h_79,other_cardiac_tissue,Mono / Macros Ccr2+,2442,46267,0.052780599563403724,200614974,10612532.1246,0.00023010531052616645,230.10531052616645
48h,48h_79,other_cardiac_tissue,Neutrophils,255,46267,0.005511487669397195,200614974,10612532.1246,2.402819581661443e-05,24.02819581661443
